iphi,phi min,phi max,ieta,eta min,eta max
6,0.049087,0.073631,35,-0.325188,-0.300437
6,0.049087,0.073631,34,-0.349939,-0.325188
7,0.073631,0.098175,35,-0.325188,-0.300437
7,0.073631,0.098175,34,-0.349939,-0.325188
6,0.049087,0.073631,37,-0.275110,-0.250129
6,0.049087,0.073631,36,-0.300091,-0.275110
7,0.073631,0.098175,37,-0.275110,-0.250129
7,0.073631,0.098175,36,-0.300091,-0.275110
6,0.049087,0.073631,39,-0.224561,-0.199342
6,0.049087,0.073631,38,-0.249781,-0.224561
7,0.073631,0.098175,39,-0.224561,-0.199342
7,0.073631,0.098175,38,-0.249781,-0.224561
0,-0.098175,-0.073631,25,-0.569000,-0.545310
0,-0.098175,-0.073631,24,-0.592690,-0.569000
1,-0.073631,-0.049087,25,-0.569000,-0.545310
1,-0.073631,-0.049087,24,-0.592690,-0.569000
0,-0.098175,-0.073631,27,-0.521080,-0.497186
0,-0.098175,-0.073631,26,-0.544974,-0.521080
1,-0.073631,-0.049087,27,-0.521080,-0.497186
1,-0.073631,-0.049087,26,-0.544974,-0.521080
0,-0.098175,-0.073631,29,-0.472747,-0.448646
0,-0.098175,-0.073631,28,-0.496848,-0.472747
1,-0.073631,-0.049087,29,-0.472747,-0.448646
1,-0.073631,-0.049087,28,-0.496848,-0.472747
0,-0.098175,-0.073631,31,-0.423994,-0.399682
0,-0.098175,-0.073631,30,-0.448306,-0.423994
1,-0.073631,-0.049087,31,-0.423994,-0.399682
1,-0.073631,-0.049087,30,-0.448306,-0.423994
2,-0.049087,-0.024544,25,-0.569000,-0.545310
2,-0.049087,-0.024544,24,-0.592690,-0.569000
3,-0.024544,-0.000000,25,-0.569000,-0.545310
3,-0.024544,-0.000000,24,-0.592690,-0.569000
2,-0.049087,-0.024544,27,-0.521080,-0.497186
2,-0.049087,-0.024544,26,-0.544974,-0.521080
3,-0.024544,-0.000000,27,-0.521080,-0.497186
3,-0.024544,-0.000000,26,-0.544974,-0.521080
2,-0.049087,-0.024544,29,-0.472747,-0.448646
2,-0.049087,-0.024544,28,-0.496848,-0.472747
3,-0.024544,-0.000000,29,-0.472747,-0.448646
3,-0.024544,-0.000000,28,-0.496848,-0.472747
2,-0.049087,-0.024544,31,-0.423994,-0.399682
2,-0.049087,-0.024544,30,-0.448306,-0.423994
3,-0.024544,-0.000000,31,-0.423994,-0.399682
3,-0.024544,-0.000000,30,-0.448306,-0.423994
4,-0.000000,0.024544,25,-0.569000,-0.545310
4,-0.000000,0.024544,24,-0.592690,-0.569000
5,0.024544,0.049087,25,-0.569000,-0.545310
5,0.024544,0.049087,24,-0.592690,-0.569000
4,-0.000000,0.024544,27,-0.521080,-0.497186
4,-0.000000,0.024544,26,-0.544974,-0.521080
5,0.024544,0.049087,27,-0.521080,-0.497186
5,0.024544,0.049087,26,-0.544974,-0.521080
4,-0.000000,0.024544,29,-0.472747,-0.448646
4,-0.000000,0.024544,28,-0.496848,-0.472747
5,0.024544,0.049087,29,-0.472747,-0.448646
5,0.024544,0.049087,28,-0.496848,-0.472747
4,-0.000000,0.024544,31,-0.423994,-0.399682
4,-0.000000,0.024544,30,-0.448306,-0.423994
5,0.024544,0.049087,31,-0.423994,-0.399682
5,0.024544,0.049087,30,-0.448306,-0.423994
6,0.049087,0.073631,25,-0.569000,-0.545310
6,0.049087,0.073631,24,-0.592690,-0.569000
7,0.073631,0.098175,25,-0.569000,-0.545310
7,0.073631,0.098175,24,-0.592690,-0.569000
6,0.049087,0.073631,27,-0.521080,-0.497186
6,0.049087,0.073631,26,-0.544974,-0.521080
7,0.073631,0.098175,27,-0.521080,-0.497186
7,0.073631,0.098175,26,-0.544974,-0.521080
6,0.049087,0.073631,29,-0.472747,-0.448646
6,0.049087,0.073631,28,-0.496848,-0.472747
7,0.073631,0.098175,29,-0.472747,-0.448646
7,0.073631,0.098175,28,-0.496848,-0.472747
6,0.049087,0.073631,31,-0.423994,-0.399682
6,0.049087,0.073631,30,-0.448306,-0.423994
7,0.073631,0.098175,31,-0.423994,-0.399682
7,0.073631,0.098175,30,-0.448306,-0.423994
0,-0.098175,-0.073631,17,-0.756634,-0.733744
0,-0.098175,-0.073631,16,-0.779524,-0.756634
1,-0.073631,-0.049087,17,-0.756634,-0.733744
1,-0.073631,-0.049087,16,-0.779524,-0.756634
0,-0.098175,-0.073631,19,-0.710327,-0.687239
0,-0.098175,-0.073631,18,-0.733416,-0.710327
1,-0.073631,-0.049087,19,-0.710327,-0.687239
1,-0.073631,-0.049087,18,-0.733416,-0.710327
0,-0.098175,-0.073631,21,-0.663620,-0.640332
0,-0.098175,-0.073631,20,-0.686909,-0.663620
1,-0.073631,-0.049087,21,-0.663620,-0.640332
1,-0.073631,-0.049087,20,-0.686909,-0.663620
0,-0.098175,-0.073631,23,-0.616512,-0.593024
0,-0.098175,-0.073631,22,-0.640000,-0.616512
1,-0.073631,-0.049087,23,-0.616512,-0.593024
1,-0.073631,-0.049087,22,-0.640000,-0.616512
2,-0.049087,-0.024544,17,-0.756634,-0.733744
2,-0.049087,-0.024544,16,-0.779524,-0.756634
3,-0.024544,-0.000000,17,-0.756634,-0.733744
3,-0.024544,-0.000000,16,-0.779524,-0.756634
2,-0.049087,-0.024544,19,-0.710327,-0.687239
2,-0.049087,-0.024544,18,-0.733416,-0.710327
3,-0.024544,-0.000000,19,-0.710327,-0.687239
3,-0.024544,-0.000000,18,-0.733416,-0.710327
2,-0.049087,-0.024544,21,-0.663620,-0.640332
2,-0.049087,-0.024544,20,-0.686909,-0.663620
3,-0.024544,-0.000000,21,-0.663620,-0.640332
3,-0.024544,-0.000000,20,-0.686909,-0.663620
2,-0.049087,-0.024544,23,-0.616512,-0.593024
2,-0.049087,-0.024544,22,-0.640000,-0.616512
3,-0.024544,-0.000000,23,-0.616512,-0.593024
3,-0.024544,-0.000000,22,-0.640000,-0.616512
4,-0.000000,0.024544,17,-0.756634,-0.733744
4,-0.000000,0.024544,16,-0.779524,-0.756634
5,0.024544,0.049087,17,-0.756634,-0.733744
5,0.024544,0.049087,16,-0.779524,-0.756634
4,-0.000000,0.024544,19,-0.710327,-0.687239
4,-0.000000,0.024544,18,-0.733416,-0.710327
5,0.024544,0.049087,19,-0.710327,-0.687239
5,0.024544,0.049087,18,-0.733416,-0.710327
4,-0.000000,0.024544,21,-0.663620,-0.640332
4,-0.000000,0.024544,20,-0.686909,-0.663620
5,0.024544,0.049087,21,-0.663620,-0.640332
5,0.024544,0.049087,20,-0.686909,-0.663620
4,-0.000000,0.024544,23,-0.616512,-0.593024
4,-0.000000,0.024544,22,-0.640000,-0.616512
5,0.024544,0.049087,23,-0.616512,-0.593024
5,0.024544,0.049087,22,-0.640000,-0.616512
6,0.049087,0.073631,17,-0.756634,-0.733744
6,0.049087,0.073631,16,-0.779524,-0.756634
7,0.073631,0.098175,17,-0.756634,-0.733744
7,0.073631,0.098175,16,-0.779524,-0.756634
6,0.049087,0.073631,19,-0.710327,-0.687239
6,0.049087,0.073631,18,-0.733416,-0.710327
7,0.073631,0.098175,19,-0.710327,-0.687239
7,0.073631,0.098175,18,-0.733416,-0.710327
6,0.049087,0.073631,21,-0.663620,-0.640332
6,0.049087,0.073631,20,-0.686909,-0.663620
7,0.073631,0.098175,21,-0.663620,-0.640332
7,0.073631,0.098175,20,-0.686909,-0.663620
6,0.049087,0.073631,23,-0.616512,-0.593024
6,0.049087,0.073631,22,-0.640000,-0.616512
7,0.073631,0.098175,23,-0.616512,-0.593024
7,0.073631,0.098175,22,-0.640000,-0.616512
0,-0.098175,-0.073631,9,-0.937848,-0.915759
0,-0.098175,-0.073631,8,-0.959937,-0.937848
1,-0.073631,-0.049087,9,-0.937848,-0.915759
1,-0.073631,-0.049087,8,-0.959937,-0.937848
0,-0.098175,-0.073631,11,-0.893150,-0.870859
0,-0.098175,-0.073631,10,-0.915440,-0.893150
1,-0.073631,-0.049087,11,-0.893150,-0.870859
1,-0.073631,-0.049087,10,-0.915440,-0.893150
0,-0.098175,-0.073631,13,-0.848046,-0.825555
0,-0.098175,-0.073631,12,-0.870537,-0.848046
1,-0.073631,-0.049087,13,-0.848046,-0.825555
1,-0.073631,-0.049087,12,-0.870537,-0.848046
0,-0.098175,-0.073631,15,-0.802541,-0.779850
0,-0.098175,-0.073631,14,-0.825231,-0.802541
1,-0.073631,-0.049087,15,-0.802541,-0.779850
1,-0.073631,-0.049087,14,-0.825231,-0.802541
2,-0.049087,-0.024544,9,-0.937848,-0.915759
2,-0.049087,-0.024544,8,-0.959937,-0.937848
3,-0.024544,-0.000000,9,-0.937848,-0.915759
3,-0.024544,-0.000000,8,-0.959937,-0.937848
2,-0.049087,-0.024544,11,-0.893150,-0.870859
2,-0.049087,-0.024544,10,-0.915440,-0.893150
3,-0.024544,-0.000000,11,-0.893150,-0.870859
3,-0.024544,-0.000000,10,-0.915440,-0.893150
2,-0.049087,-0.024544,13,-0.848046,-0.825555
2,-0.049087,-0.024544,12,-0.870537,-0.848046
3,-0.024544,-0.000000,13,-0.848046,-0.825555
3,-0.024544,-0.000000,12,-0.870537,-0.848046
2,-0.049087,-0.024544,15,-0.802541,-0.779850
2,-0.049087,-0.024544,14,-0.825231,-0.802541
3,-0.024544,-0.000000,15,-0.802541,-0.779850
3,-0.024544,-0.000000,14,-0.825231,-0.802541
4,-0.000000,0.024544,9,-0.937848,-0.915759
4,-0.000000,0.024544,8,-0.959937,-0.937848
5,0.024544,0.049087,9,-0.937848,-0.915759
5,0.024544,0.049087,8,-0.959937,-0.937848
4,-0.000000,0.024544,11,-0.893150,-0.870859
4,-0.000000,0.024544,10,-0.915440,-0.893150
5,0.024544,0.049087,11,-0.893150,-0.870859
5,0.024544,0.049087,10,-0.915440,-0.893150
4,-0.000000,0.024544,13,-0.848046,-0.825555
4,-0.000000,0.024544,12,-0.870537,-0.848046
5,0.024544,0.049087,13,-0.848046,-0.825555
5,0.024544,0.049087,12,-0.870537,-0.848046
4,-0.000000,0.024544,15,-0.802541,-0.779850
4,-0.000000,0.024544,14,-0.825231,-0.802541
5,0.024544,0.049087,15,-0.802541,-0.779850
5,0.024544,0.049087,14,-0.825231,-0.802541
6,0.049087,0.073631,9,-0.937848,-0.915759
6,0.049087,0.073631,8,-0.959937,-0.937848
7,0.073631,0.098175,9,-0.937848,-0.915759
7,0.073631,0.098175,8,-0.959937,-0.937848
6,0.049087,0.073631,11,-0.893150,-0.870859
6,0.049087,0.073631,10,-0.915440,-0.893150
7,0.073631,0.098175,11,-0.893150,-0.870859
7,0.073631,0.098175,10,-0.915440,-0.893150
6,0.049087,0.073631,13,-0.848046,-0.825555
6,0.049087,0.073631,12,-0.870537,-0.848046
7,0.073631,0.098175,13,-0.848046,-0.825555
7,0.073631,0.098175,12,-0.870537,-0.848046
6,0.049087,0.073631,15,-0.802541,-0.779850
6,0.049087,0.073631,14,-0.825231,-0.802541
7,0.073631,0.098175,15,-0.802541,-0.779850
7,0.073631,0.098175,14,-0.825231,-0.802541
0,-0.098175,-0.073631,1,-1.112542,-1.091275
0,-0.098175,-0.073631,0,-1.133810,-1.112542
1,-0.073631,-0.049087,1,-1.112542,-1.091275
1,-0.073631,-0.049087,0,-1.133810,-1.112542
0,-0.098175,-0.073631,3,-1.069490,-1.048015
0,-0.098175,-0.073631,2,-1.090965,-1.069490
1,-0.073631,-0.049087,3,-1.069490,-1.048015
1,-0.073631,-0.049087,2,-1.090965,-1.069490
0,-0.098175,-0.073631,5,-1.026021,-1.004340
0,-0.098175,-0.073631,4,-1.047703,-1.026021
1,-0.073631,-0.049087,5,-1.026021,-1.004340
1,-0.073631,-0.049087,4,-1.047703,-1.026021
0,-0.098175,-0.073631,7,-0.982140,-0.960254
0,-0.098175,-0.073631,6,-1.004026,-0.982140
1,-0.073631,-0.049087,7,-0.982140,-0.960254
1,-0.073631,-0.049087,6,-1.004026,-0.982140
2,-0.049087,-0.024544,1,-1.112542,-1.091275
2,-0.049087,-0.024544,0,-1.133810,-1.112542
3,-0.024544,-0.000000,1,-1.112542,-1.091275
3,-0.024544,-0.000000,0,-1.133810,-1.112542
